date,value
1950-09-28,103.8100
1950-09-29,103.5800
1950-10-02,103.5200
1950-10-03,103.6500
1950-10-04,105.4400
1950-10-05,107.2800
1950-10-06,106.5400
1950-10-09,105.9500
1950-10-10,106.2100
1950-10-11,106.7800
1950-10-12,105.9900
1950-10-13,106.5000
1950-10-16,107.2300
1950-10-17,106.7200
1950-10-18,107.2500
1950-10-19,107.4400
1950-10-20,106.7800
1950-10-23,106.3500
1950-10-24,105.9700
1950-10-25,106.1500
1950-10-26,106.3300
1950-10-27,105.8800
1950-10-30,105.3900
1950-10-31,106.1600
1950-11-01,108.5500
1950-11-02,111.0200
1950-11-06,111.2100
1950-11-07,110.5500
1950-11-08,109.4900
1950-11-09,109.4900
1950-11-10,110.1400
1950-11-13,110.5000
1950-11-14,111.2600
1950-11-15,110.6400
1950-11-16,111.0800
1950-11-17,111.4200
1950-11-20,110.3100
1950-11-21,109.9600
1950-11-22,109.9100
1950-11-24,109.9700
1950-11-27,112.9300
1950-11-28,112.2300
1950-11-29,111.7500
1950-11-30,109.7500
1950-12-01,110.0500
1950-12-04,107.0300
1950-12-05,106.4300
1950-12-06,106.5800
1950-12-07,105.9400
1950-12-08,103.6200
1950-12-11,103.7800
1950-12-12,102.5500
1950-12-13,101.0400
1950-12-14,101.1500
1950-12-15,101.5800
1950-12-18,101.4200
1950-12-19,100.7600
1950-12-20,100.8400
1950-12-21,99.4900
1950-12-22,98.2700
1950-12-25,100.4200
1950-12-26,101.0300
1950-12-27,101.2100
1950-12-28,101.9100
1951-01-04,102.1000
1951-01-05,102.8100
1951-01-08,104.9000
1951-01-09,106.3600
1951-01-10,105.7900
1951-01-11,106.5400
1951-01-12,108.7600
1951-01-16,109.2900
1951-01-17,108.8000
1951-01-18,109.2300
1951-01-19,108.8600
1951-01-22,108.2200
1951-01-23,110.1300
1951-01-24,110.4700
1951-01-25,111.0800
1951-01-26,110.3600
1951-01-29,110.5600
1951-01-30,112.5900
1951-01-31,115.4300
1951-02-01,115.0000
1951-02-02,117.0100
1951-02-05,119.4300
1951-02-06,119.2400
1951-02-07,120.4700
1951-02-08,120.1000
1951-02-09,118.2300
1951-02-12,119.1000
1951-02-13,119.4900
1951-02-14,118.3100
1951-02-16,118.2400
1951-02-19,119.8000
1951-02-20,119.5600
1951-02-21,119.1500
1951-02-22,119.8600
1951-02-23,121.8800
1951-02-26,120.7500
1951-02-27,120.9000
1951-02-28,121.8400
1951-03-01,122.7100
1951-03-02,123.9300
1951-03-05,127.8900
1951-03-06,126.8900
1951-03-07,128.9000
1951-03-08,130.5500
1951-03-09,129.9000
1951-03-12,130.1400
1951-03-13,131.6700
1951-03-14,132.5000
1951-03-15,132.9100
1951-03-16,132.9700
1951-03-19,129.7500
1951-03-20,127.8100
1951-03-22,125.7200
1951-03-23,125.9500
1951-03-26,125.4400
1951-03-27,125.0700
1951-03-28,125.7600
1951-03-29,123.1000
1951-03-30,123.3200
1951-04-02,124.8700
1951-04-03,123.7800
1951-04-04,122.7500
